lake,date,st,zv,lmo,wind,swr
211720,1991-07-15,124.14260582136758,5.430488963540089,23.404041838737072,6.183804485086414,128.57263390791465
211720,1992-07-13,120.0727663079067,5.430488963540089,8.570777871509614,4.970930176646489,182.3748324992449
211720,1993-07-19,93.72871458203672,5.430488963540089,3.413897817699184,3.606234798530241,174.8169900148112
211720,1994-07-18,125.47265755641601,5.430488963540089,0.6310088876024025,2.4801449505369972,307.657758499321
211720,1995-07-17,184.20528987838188,5.430488963540089,13.027234712381055,5.56703289997883,168.53545686519627
211720,1996-07-15,151.9992699826053,5.430488963540089,1.2387775156627632,3.109358346569765,308.8098695542431
211720,1997-07-21,196.67221794341165,5.430488963540089,0.20877196046022745,1.6322894152454706,265.08886193180615
211720,1998-07-20,82.82475725385629,5.430488963540089,14.565969264155477,4.910237828159895,103.42852969258847
211720,1999-07-26,131.1826843025405,5.430488963540089,1.1131307580140934,3.0284254392732164,317.5240538197508
211720,2000-07-24,132.05530169313886,5.430488963540089,0.92447910590348,2.207199654634976,148.01301842916928
211720,2001-07-23,133.56602223209995,5.430488963540089,3.027836261404675,3.7100525106898377,214.6248183421832
211720,2002-07-22,121.06847201818076,5.430488963540089,13.616411132604304,4.483072433513562,84.20478445440229
211720,2003-07-21,207.45010476821278,5.430488963540089,10.018963561019005,5.474230195132666,208.36200473993733
211720,2004-07-19,146.93123949260394,5.430488963540089,1.9405202218738737,3.3174212673548027,239.4174812601
211720,2005-07-18,250.3857127601461,5.430488963540089,23.796454674289535,6.3284348004718,135.53417882598717
211720,2006-07-24,271.90791714652136,5.430488963540089,0.4369578791122469,2.0978037138547685,268.86058040157076
211720,2007-07-23,141.33945819612617,5.430488963540089,0.5663289747918709,1.9949211558439754,178.3941394856609
211720,2008-07-21,134.56271991243443,5.430488963540089,4.311233544578303,4.56972412024148,281.6699736048864
211720,2009-07-20,148.17534570103666,5.430488963540089,10.035963514093217,5.612137216055771,224.12893418862785
211720,2010-07-26,105.48884100449587,5.430488963540089,8.73983183641268,3.523072434054341,63.66984570777856
211720,2011-07-18,158.229209920588,5.430488963540089,35.437363077086616,6.116666306938695,82.1779160224165
211720,2012-07-16,111.54623756408313,5.430488963540089,13.48832614812687,4.273614795477423,73.6377009522074
211720,2013-07-22,281.24571376606934,5.430488963540089,1.5212472300905442,3.0578125577971025,239.16902663822344
