"","date","st","zv","zg","lmo","wind","swr"
"1",2005-04-06 01:00:00,3.0908687650274,11.0376093314898,10.1630776242889,NA,0,0
"2",2005-04-06 02:00:00,3.61446419127699,11.0376093314898,10.6816167880202,NA,0,0
"3",2005-04-06 03:00:00,3.52090669275461,11.0376093314898,7.43993762431108,NA,0,0
"4",2005-04-06 04:00:00,4.09399312224706,11.0376093314898,10.2022555260112,NA,0,0
"5",2005-04-06 05:00:00,3.30494494866903,11.0376093314898,10.3320598853392,NA,0,0
"6",2005-04-06 06:00:00,4.20222626415112,11.0376093314898,11.6060629592279,0,0,0.26
"7",2005-04-06 07:00:00,2.80413766838796,11.0376093314898,9.51576767165546,0,0,23.99
"8",2005-04-06 08:00:00,2.20542990498131,11.0376093314898,10.1430161614456,0,0,63.52
"9",2005-04-06 09:00:00,1.94417898566126,11.0376093314898,14.3991212311951,0,0,37.33
"10",2005-04-06 10:00:00,2.03851314617301,11.0376093314898,10.2065838579018,0,0,40.35
"11",2005-04-06 11:00:00,2.05100237934242,11.0376093314898,11.4130407482756,0,0,76.3
"12",2005-04-06 12:00:00,2.45651517481669,11.0376093314898,15.6642508330699,0,0,74.1
"13",2005-04-06 13:00:00,2.55443660023387,11.0376093314898,15.89376359057,0,0,83
"14",2005-04-06 14:00:00,2.81062918756265,11.0376093314898,15.1525069288205,0,0,91.4
"15",2005-04-06 15:00:00,3.38684794898789,11.0376093314898,6.79273250467796,0,0,78
"16",2005-04-06 16:00:00,3.34324231773021,11.0376093314898,5.30780608966207,0,0,115
"17",2005-04-06 17:00:00,3.36709363452572,11.0376093314898,2.90057053524525,0,0,75.2
"18",2005-04-06 18:00:00,3.70526988838863,11.0376093314898,5.06784310571131,0,0,24.77
"19",2005-04-06 19:00:00,4.40842526038849,11.0376093314898,9.05741592275588,0,0,1.453
"20",2005-04-06 20:00:00,5.07863746165498,11.0376093314898,9.81246953401147,NA,0,0
"21",2005-04-06 21:00:00,5.19555293246468,11.0376093314898,9.91231825888275,NA,0,0
"22",2005-04-06 22:00:00,5.02078191558182,11.0376093314898,9.00692611160471,NA,0,0
"23",2005-04-06 23:00:00,5.18722637320915,11.0376093314898,11.844055159931,NA,0,0
"24",2005-04-07,5.78889747371336,11.0376093314898,9.39489885228098,NA,0,0
"25",2005-04-07 01:00:00,6.18869229545197,11.0376093314898,10.0846060206383,NA,0,0
"26",2005-04-07 02:00:00,6.22721317358486,11.0376093314898,9.23339224655177,NA,0,0
"27",2005-04-07 03:00:00,7.2245188664042,11.0376093314898,7.79134723213009,NA,0,0
"28",2005-04-07 04:00:00,7.66713228280465,11.0376093314898,6.55174720925574,NA,0,0
"29",2005-04-07 05:00:00,8.43575534437156,11.0376093314898,2.79662522262987,NA,0,0
"30",2005-04-07 06:00:00,9.54607775166829,11.0376093314898,4.74210102811565,0,0,5.817
"31",2005-04-07 07:00:00,9.23810321514735,11.0376093314898,5.96426425997296,0,0,60.78
"32",2005-04-07 08:00:00,6.56842600459246,11.0376093314898,10.3536713944318,0,0,186.2
"33",2005-04-07 09:00:00,7.51538584399794,11.0376093314898,12.2725788916065,0,0,522.5
"34",2005-04-07 10:00:00,5.93452215970815,11.0376093314898,10.7879639445781,0,0,690.2
"35",2005-04-07 11:00:00,3.72664036194315,11.0376093314898,11.0179161655809,0,0,807
"36",2005-04-07 12:00:00,1.45943222825779,11.0376093314898,12.29442241287,0,0,859
"37",2005-04-07 13:00:00,1.63204266792766,11.0376093314898,7.11684035289012,0,0,869
"38",2005-04-07 14:00:00,3.9757200936021,11.0376093314898,4.79793993006275,0,0,807
"39",2005-04-07 15:00:00,30.609413104051,11.0376093314898,0.691152133224663,0,0,696.7
"40",2005-04-07 16:00:00,32.0351334209782,11.0376093314898,1.36563559773798,0,0,540.9
"41",2005-04-07 17:00:00,25.0730528100662,11.0376093314898,0.68381105502448,0,0,354.2
"42",2005-04-07 18:00:00,10.6296631127566,11.0376093314898,1.09562858354583,0,0,160.5
"43",2005-04-07 19:00:00,1.43198739070688,11.0376093314898,13.4275987237552,0,0,14.99
"44",2005-04-07 20:00:00,9.45503083936529,11.0376093314898,3.87543201607702,NA,0,0
"45",2005-04-07 21:00:00,14.8925144287348,11.0376093314898,0.999136135858962,NA,0,0
"46",2005-04-07 22:00:00,18.3142685896226,11.0376093314898,0.983267132616244,NA,0,0
"47",2005-04-07 23:00:00,19.8200876645404,11.0376093314898,0.980750993358038,NA,0,0
"48",2005-04-08,22.2218115722407,11.0376093314898,0.97652138941063,NA,0,0
"49",2005-04-08 01:00:00,24.1522011631651,11.0376093314898,0.968810717158224,NA,0,0
"50",2005-04-08 02:00:00,25.5404000150954,11.0376093314898,0.969649957846186,NA,0,0
"51",2005-04-08 03:00:00,24.0688828753827,11.0376093314898,0.967484705404713,NA,0,0
"52",2005-04-08 04:00:00,23.0415299304341,11.0376093314898,0.972306795485816,NA,0,0
"53",2005-04-08 05:00:00,24.1233864619099,11.0376093314898,0.975654887061801,NA,0,0
"54",2005-04-08 06:00:00,24.840653475917,11.0376093314898,0.968160661722118,0,0,15.55
"55",2005-04-08 07:00:00,17.4236728696063,11.0376093314898,0.981216687507051,0,0,156.8
"56",2005-04-08 08:00:00,7.64094973669252,11.0376093314898,1.93902653434394,0,0,342.4
"57",2005-04-08 09:00:00,1.94917094448184,11.0376093314898,15.9540390470418,0,0,537.4
"58",2005-04-08 10:00:00,0.850348679744332,11.0376093314898,16.3886997646137,0,0,692.3
"59",2005-04-08 11:00:00,0.984604353317319,11.0376093314898,15.2072207007051,0,0,806
