DateTime,TemperatureAboveSurface_degC,LightAboveSurface_Wpm2,SensorA_DepthFromTop_m,SensorA_Temp_degC,SensorA_Light_umolpm2s,SensorB_DepthFromTop_m,SensorB_Temp_degC,SensorB_Light,SensorC_DepthFromTop_m,SensorC_Temp_degC,SensorC_Light,PondMaxDepth_m
6/10/2019 0:00,12.55555556,0,0.1,17.48919906,NA,0.7,11.42102435,NA,1.22,9.604308293,NA,1.22
6/10/2019 0:10,NA,NA,0.1,17.37753769,NA,0.7,11.395531,NA,1.22,9.673247772,NA,1.22
6/10/2019 0:20,NA,NA,0.1,17.36239716,NA,0.7,11.395531,NA,1.22,9.587309517,NA,1.22
6/10/2019 0:30,NA,NA,0.1,17.23464898,NA,0.7,11.42857794,NA,1.22,9.604308293,NA,1.22
6/10/2019 0:40,NA,NA,0.1,17.21099191,NA,0.7,11.42102435,NA,1.22,9.595808905,NA,1.22
6/10/2019 0:50,NA,NA,0.1,17.16273149,NA,0.7,11.41252657,NA,1.22,9.664748385,NA,1.22
6/10/2019 1:00,9.222222222,0,0.1,17.05958666,NA,0.7,11.395531,NA,1.22,9.595808905,NA,1.22
6/10/2019 1:10,NA,NA,0.1,17.01132624,NA,0.7,11.34548848,NA,1.22,9.656248997,NA,1.22
6/10/2019 1:20,NA,NA,0.1,16.97915262,NA,0.7,11.37853542,NA,1.22,9.656248997,NA,1.22
6/10/2019 1:30,NA,NA,0.1,16.88357806,NA,0.7,11.38703321,NA,1.22,9.656248997,NA,1.22
6/10/2019 1:40,NA,NA,0.1,16.83626392,NA,0.7,11.395531,NA,1.22,9.656248997,NA,1.22
6/10/2019 1:50,NA,NA,0.1,16.79557375,NA,0.7,11.40402878,NA,1.22,9.682691537,NA,1.22
6/10/2019 2:00,7.777777778,0,0.1,16.75582988,NA,0.7,11.41252657,NA,1.22,9.664748385,NA,1.22
6/10/2019 2:10,NA,NA,0.1,16.6280817,NA,0.7,11.46256909,NA,1.22,9.604308293,NA,1.22
6/10/2019 2:20,NA,NA,0.1,16.57982127,NA,0.7,11.34548848,NA,1.22,9.656248997,NA,1.22
6/10/2019 2:30,NA,NA,0.1,16.54859394,NA,0.7,11.37853542,NA,1.22,9.647749609,NA,1.22
6/10/2019 2:40,NA,NA,0.1,16.50033351,NA,0.7,11.43707573,NA,1.22,9.699690313,NA,1.22
6/10/2019 2:50,NA,NA,0.1,16.42841602,NA,0.7,11.38703321,NA,1.22,9.673247772,NA,1.22
6/10/2019 3:00,9.166666667,0,0.1,16.34798198,NA,0.7,11.37003764,NA,1.22,9.656248997,NA,1.22
6/10/2019 3:10,NA,NA,0.1,16.27606449,NA,0.7,11.42102435,NA,1.22,9.622251445,NA,1.22
