DateTime,TemperatureAboveSurface_degC,LightAboveSurface_PAR_umols/m^2/s,SensorA_DepthFromTop_m,SensorA_Temp_degC,SensorA_Light_Lux,SensorB_DepthFromTop_m,SensorB_Temp_degC,SensorB_Light_Lux,SensorC_DepthFromTop_m,SensorC_Temp_degC,SensorC_Light_Lux,SensorD_DepthFromTop_m,SensorD_Temp_degC,SensorD_Light_Lux,PondMaxDepth_m
6/10/2019 0:00,12.727,1.2,0.05,18.78,0,0.247,19.161,0,0.497,19.066,0,0.697,18.875,0,0.697
6/10/2019 0:10,12.292,1.2,0.05,18.78,0,0.247,19.066,0,0.497,19.066,0,0.697,18.875,0,0.697
6/10/2019 0:20,12.34,1.2,0.05,18.59,0,0.247,19.066,0,0.497,18.971,0,0.697,18.78,0,0.697
6/10/2019 0:30,12.122,1.2,0.05,18.685,0,0.248,18.971,0,0.498,18.971,0,0.698,18.78,0,0.698
6/10/2019 0:40,12.074,1.2,0.05,18.685,0,0.248,18.971,0,0.498,18.875,0,0.698,18.685,0,0.698
6/10/2019 0:50,12.098,1.2,0.05,18.59,0,0.247,18.875,0,0.497,18.875,0,0.697,18.685,0,0.697
6/10/2019 1:00,11.977,1.2,0.05,18.495,0,0.247,18.875,0,0.497,18.875,0,0.697,18.685,0,0.697
6/10/2019 1:10,12.098,1.2,0.05,18.4,0,0.247,18.78,0,0.497,18.78,0,0.697,18.685,0,0.697
6/10/2019 1:20,12.171,1.2,0.05,18.4,0,0.247,18.78,0,0.497,18.78,0,0.697,18.59,0,0.697
6/10/2019 1:30,12.147,1.2,0.05,18.4,0,0.247,18.685,0,0.497,18.685,0,0.697,18.59,0,0.697
6/10/2019 1:40,12.074,1.2,0.05,18.305,0,0.248,18.685,0,0.498,18.685,0,0.698,18.59,0,0.698
6/10/2019 1:50,11.953,1.2,0.05,18.21,0,0.248,18.685,0,0.498,18.59,0,0.698,18.495,0,0.698
6/10/2019 2:00,11.929,1.2,0.05,18.21,0,0.247,18.59,0,0.497,18.59,0,0.697,18.495,0,0.697
6/10/2019 2:10,11.88,1.2,0.05,18.305,0,0.246,18.59,0,0.496,18.59,0,0.696,18.495,0,0.696
6/10/2019 2:20,11.832,1.2,0.05,18.305,0,0.246,18.495,0,0.496,18.495,0,0.696,18.4,0,0.696
6/10/2019 2:30,11.71,1.2,0.05,18.21,0,0.247,18.495,0,0.497,18.495,0,0.697,18.4,0,0.697
6/10/2019 2:40,11.589,1.2,0.05,18.115,0,0.246,18.495,0,0.496,18.4,0,0.696,18.305,0,0.696
6/10/2019 2:50,11.589,1.2,0.05,18.115,0,0.246,18.4,0,0.496,18.4,0,0.696,18.305,0,0.696
6/10/2019 3:00,11.54,1.2,0.05,17.924,0,0.248,18.4,0,0.498,18.305,0,0.698,18.305,0,0.698
6/10/2019 3:10,11.492,1.2,0.05,18.019,0,0.248,18.305,0,0.498,18.305,0,0.698,18.21,0,0.698
6/10/2019 3:20,11.321,1.2,0.05,17.924,0,0.246,18.305,0,0.496,18.305,0,0.696,18.21,0,0.696
6/10/2019 3:30,11.224,1.2,0.05,17.924,0,0.247,18.305,0,0.497,18.21,0,0.697,18.21,0,0.697
6/10/2019 3:40,11.151,1.2,0.05,17.924,0,0.247,18.21,0,0.497,18.21,0,0.697,18.21,0,0.697
6/10/2019 3:50,11.102,1.2,0.05,17.829,0,0.246,18.21,0,0.496,18.115,0,0.696,18.115,0,0.696
6/10/2019 4:00,11.224,1.2,0.05,17.734,0,0.245,18.115,0,0.495,18.115,0,0.695,18.115,0,0.695
6/10/2019 4:10,11.2,1.2,0.05,17.734,0,0.248,18.115,0,0.498,18.115,0,0.698,18.115,0,0.698
6/10/2019 4:20,11.224,1.2,0.05,17.639,0,0.244,18.115,0,0.494,18.019,0,0.694,18.019,0,0.694
6/10/2019 4:30,11.127,1.2,0.05,17.639,0,0.246,18.019,0,0.496,18.019,0,0.696,18.019,0,0.696
6/10/2019 4:40,11.005,1.2,0.05,17.544,0,0.246,18.019,0,0.496,17.924,0,0.696,18.019,0,0.696
6/10/2019 4:50,10.98,1.2,0.05,17.544,0,0.247,17.924,0,0.497,17.924,0,0.697,17.924,0,0.697
6/10/2019 5:00,10.98,1.2,0.05,17.544,0,0.247,17.924,0,0.497,17.924,0,0.697,17.924,0,0.697
6/10/2019 5:10,11.078,1.2,0.05,17.544,0,0.247,17.924,0,0.497,17.829,0,0.697,17.924,0,0.697
6/10/2019 5:20,11.151,1.2,0.05,17.544,0,0.247,17.829,10.8,0.497,17.829,0,0.697,17.924,0,0.697
6/10/2019 5:30,11.005,1.2,0.05,17.544,21.5,0.247,17.829,43.1,0.497,17.829,0,0.697,17.829,0,0.697
6/10/2019 5:40,11.102,3.7,0.05,17.354,43.1,0.247,17.734,86.1,0.497,17.734,0,0.697,17.829,0,0.697
6/10/2019 5:50,11.224,8.7,0.05,17.354,75.3,0.247,17.734,139.9,0.497,17.734,10.8,0.697,17.829,0,0.697
6/10/2019 6:00,11.321,16.2,0.05,17.354,129.2,0.247,17.734,193.8,0.497,17.734,21.5,0.697,17.734,0,0.697
6/10/2019 6:10,11.589,21.2,0.05,17.258,193.8,0.247,17.734,247.6,0.497,17.639,32.3,0.697,17.734,0,0.697
6/10/2019 6:20,11.929,28.7,0.05,17.258,269.1,0.247,17.639,301.4,0.497,17.639,43.1,0.697,17.734,0,0.697
6/10/2019 6:30,12.05,33.7,0.05,17.354,366,0.246,17.639,366,0.496,17.639,53.8,0.696,17.734,0,0.696
6/10/2019 6:40,12.34,38.7,0.05,17.354,462.9,0.246,17.639,419.8,0.496,17.544,75.3,0.696,17.734,0,0.696
