lake,Datetime,St,mean_rho,Zg,Zv,mean_depth,lake_area,surface_temp,bottom_temp,therm_dep,max_depth
AL,1986-06-18,28.6342295911025,998.880231073704,5.36738818613549,5.36666666666667,2.9,1642398.13646513,21.6,13.2,4.0041000702487,8
AL,1986-07-02,37.3221453551735,998.570328795928,5.3676073943229,5.36666666666667,2.9,1642398.13646513,21.9,14.7,5.23700885575629,8
AL,1986-07-16,28.3985643154524,998.621426546527,5.36738243334132,5.36666666666667,2.9,1642398.13646513,21.6,15,4.73321185956374,8
AL,1986-07-28,50.9935325281241,998.272927967613,5.36795237297284,5.36666666666667,2.9,1642398.13646513,25.1,16,4.67784161528135,8
AL,1986-08-13,27.01750136563,998.517617989824,5.36734769537462,5.36666666666667,2.9,1642398.13646513,20.8,15.6,5.80138406844599,8
AL,1986-08-26,16.8142267579266,998.599814296786,5.36709046709225,5.36666666666667,2.9,1642398.13646513,19.5,16.2,5.98111821052919,8
AL,1986-09-10,1.87777106074951,998.977415040676,5.3667139777553,5.36666666666667,2.9,1642398.13646513,16.3,15.8,4.2830228019599,8
AL,1986-09-22,0.292731395341177,999.298834785826,5.36667403976271,5.36666666666667,2.9,1642398.13646513,14.1,13.8,1.49415382176462,8
AL,1986-10-09,0.52067590427571,999.550959466963,5.36667977774793,5.36666666666667,2.9,1642398.13646513,12,11.7,3.48100618896118,8
AL,1986-10-22,1.65359210031093,999.83569351233,5.366708293725,5.36666666666667,2.9,1642398.13646513,9.1,8.2,5.21555887452029,8
AL,1986-11-03,NA,999.954636706761,5.36666666666667,5.36666666666667,2.9,1642398.13646513,6.4,6.4,NA,8
AL,1987-01-20,0.975450746205858,999.990445440768,5.36669121858689,5.36666666666667,2.9,1642398.13646513,0.4,4.4,1.80857647476335,8
AL,1987-02-24,0.673720752185581,999.993527341461,5.36668362404483,5.36666666666667,2.9,1642398.13646513,0.4,4.5,1.41428665741868,8
AL,1987-03-19,0.118890831892355,999.998668430894,5.36666965910296,5.36666666666667,2.9,1642398.13646513,0.5,4.3,0.592774428669324,8
AL,1987-04-15,0.576687817297027,999.951443533544,5.36668118236168,5.36666666666667,2.9,1642398.13646513,7,6.3,3.52435831650532,8
AL,1987-05-04,4.41271466578072,999.620415232575,5.3667777750167,5.36666666666667,2.9,1642398.13646513,12.7,10.4,3.53389150108058,8
AL,1987-05-18,11.9622216813831,999.124735185783,5.36696801452197,5.36666666666667,2.9,1642398.13646513,16.2,13.3,6.01474398425874,8
AL,1987-06-01,25.1192609683307,999.134449229026,5.36729945562727,5.36666666666667,2.9,1642398.13646513,22.3,13.2,2.77647607724054,8
AL,1987-06-11,26.2316795380823,999.030960318048,5.36732754744423,5.36666666666667,2.9,1642398.13646513,18.9,13.2,4.8430737012478,8
AL,1987-06-29,43.5694723714379,998.697045918758,5.36776472270566,5.36666666666667,2.9,1642398.13646513,21.8,13.4,5.22252789658315,8
AL,1987-07-13,43.4518564271721,998.515040542753,5.36776195810853,5.36666666666667,2.9,1642398.13646513,21.9,14.1,5.72222716677953,8
AL,1987-07-27,51.030273062968,998.53776223507,5.36795295807315,5.36666666666667,2.9,1642398.13646513,23.7,14.1,4.83293813189672,8
AL,1987-08-13,39.5119938408683,998.52512811891,5.3676626358854,5.36666666666667,2.9,1642398.13646513,21.9,14.8,5.37550784692061,8
AL,1987-08-26,15.4134561492423,998.664146123411,5.36705513582302,5.36666666666667,2.9,1642398.13646513,19.1,15.8,5.82824535711823,8
AL,1987-09-10,9.64213056323454,998.754435013813,5.36690965770482,5.36666666666667,2.9,1642398.13646513,18.7,16.6,4.31647416107209,8
AL,1987-09-21,0.487092841192686,999.0600584138,5.36667893812338,5.36666666666667,2.9,1642398.13646513,15.5,15.4,5.5,8
AL,1987-10-05,NA,999.443239783479,5.36666666666667,5.36666666666667,2.9,1642398.13646513,12.7,12.7,NA,8
AL,1987-10-21,-0.0848815102116612,999.892372972139,5.36666453000474,5.36666666666667,2.9,1642398.13646513,7.7,7.7,2.77406111626371,8
AL,1987-11-05,0.066826237700869,999.980391173141,5.36666834868799,5.36666666666667,2.9,1642398.13646513,5.7,5.5,3.40931221810494,8
AL,1987-11-18,-0.0343938704398181,999.992172602489,5.36666580098061,5.36666666666667,2.9,1642398.13646513,4.9,5,NA,8
AL,1988-01-11,0.297152285229444,999.997316235593,5.36667414588497,5.36666666666667,2.9,1642398.13646513,1.2,4.3,1.16944282246341,8
AL,1988-03-02,0.624817700957621,999.995263940427,5.36668239314029,5.36666666666667,2.9,1642398.13646513,0.2,4.3,1.3019803624053,8
AL,1988-03-21,0.274630780985865,999.995825787896,5.36667357903694,5.36666666666667,2.9,1642398.13646513,0.2,4.7,0.914238308975411,8
