lake,Datetime,St,mean_rho,Zg,Zv,mean_depth,lake_area,surface_temp,bottom_temp,therm_dep,max_depth
1,1992-07-17,35.1698657782351,997.616456364964,3.06858226704321,3.06789756235071,4,2500000,24,16,5.62341226564336,8
1,1993-07-12,87.6071117027786,996.943158330674,3.06960429368937,3.06789756235071,4,2500000,28.4,16.3,4.53338062155604,8
1,1994-07-17,65.0486548602256,996.992692908244,3.0691647547017,3.06789756235071,4,2500000,27.6,17.7,4.64232487609139,8
1,1995-07-17,102.229366892595,997.026469308115,3.06988899297234,3.06789756235071,4,2500000,28.4,15.2,4.3370358334375,8
1,1996-07-16,90.8776385220727,997.553785743836,3.06966692522328,3.06789756235071,4,2500000,25.8,12.1,4.62424566535501,8
1,1997-07-14,89.7305792909661,997.546691311069,3.0696446047171,3.06789756235071,4,2500000,27.8,14.4,3.57441320591978,8
1,1998-07-15,65.9877871920972,997.217548287446,3.06918275978754,3.06789756235071,4,2500000,26.5,16.8,4.80957657423934,8
1,1999-07-13,59.353348242821,997.126971485238,3.06905365052173,3.06789756235071,4,2500000,26.7,18,4.780286208095,8
1,2000-07-14,53.6458138230348,997.011053616821,3.06894260030254,3.06789756235071,4,2500000,27,20,4.57001840925224,8
1,2001-07-14,60.5318748799573,997.365803196514,3.0690763235994,3.06789756235071,4,2500000,25.53,16.21,5.00076970904047,8
1,2002-07-15,105.064164514658,997.471147322007,3.06994330249212,3.06789756235071,4,2500000,27.37,14.07,3.85463517383162,8
1,2003-07-16,41.734912655533,997.636162471838,3.06871006263885,3.06789756235071,4,2500000,24.8,18.5,4.09884384556516,8
1,2004-07-14,89.7949885219054,997.014680222575,3.06964679165428,3.06789756235071,4,2500000,27.6,16.4,4.53976797022912,8
1,2005-07-15,56.7919668383418,997.460841104364,3.06900338951117,3.06789756235071,4,2500000,25.4,17.1,4.65133363528713,8
1,2006-07-17,110.67013432785,997.144109331281,3.07005316499147,3.06789756235071,4,2500000,28.7,14.85,3.8620701156656,8
1,2007-07-16,71.8846522461174,997.085265491676,3.06929779459891,3.06789756235071,4,2500000,27.2,16.2,4.83398111464263,8
1,2008-07-14,46.1751823887929,997.485194302886,3.06879664239697,3.06789756235071,4,2500000,25.6,19,3.98093187554814,8
1,2009-07-13,59.0199688235767,997.51479016166,3.06904670999188,3.06789756235071,4,2500000,25.3,14.7,4.92530548997763,8
1,2010-07-12,78.6942527174492,996.974566175726,3.06943060816729,3.06789756235071,4,2500000,28,18.6,4.29105110249444,8
1,2011-07-12,1.91535734154747,998.090458369486,3.06793483378491,3.06789756235071,4,2500000,20.3,20.5,2.68729571091774,8
1,2012-07-16,69.041863109108,996.625853446843,3.06924304019667,3.06789756235071,4,2500000,28.5,18.7,5.00134820761371,8
